,,,,,,,,,Macronutrients,,,,,,,,Vitamins,,,,,,,,,,,,,Trace Minerals,,,,,,Fatty Acids,,,,,,,Others,,
Food ID,Food Name,Brand,Category,Sub Category,Unit Type,Serving Size,Source,Notes,Calories,Protein,Carbohydrates,Net Carbs,Fat,Fiber,Sugar,Added Sugar,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7 (Biotin),Vitamin B9 (Folate),Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Iron,Zinc,Copper,Manganese,Selenium,Iodine,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Omega-3,Omega-6,Trans Fat,Cholesterol,Glycemic Index,Glycemic Load,Water
,,,,,,,,,kcal,g,g,g,g,g,g,g,mcg,mg,mg,mg,mg,mg,mcg,mcg,mcg,mg,mcg,mg,mcg,mg,mg,mg,mg,mcg,mcg,g,g,g,g,g,g,mg,-,-,g
1,"Rice, white, cooked",Generic,Grains,Rice,100 g,100,USDA FoodData Central,Cooked,130 kcal,2.69 g,28.17 g,27.77 g,0.28 g,0.40 g,0.05 g,0.00 g,0.00 mcg,0.02 mg,0.01 mg,0.40 mg,0.39 mg,0.09 mg,N/A,3.00 mcg,0.00 mcg,0.00 mg,0.00 mcg,0.04 mg,0.00 mcg,0.20 mg,0.49 mg,0.07 mg,0.20 mg,7.50 mcg,N/A,0.07 g,0.08 g,0.09 g,0.08 g,0.03 g,0.00 g,0.00 mg,73,18,68.44 g
2,"Egg Curry (Indian Style, Low Oil)",Generic,Processed Foods,Homemade Curry,100 g,100,Recipe Calculated (USDA FoodData Central + IFCT 2017),"Homemade, Low Oil",74 kcal,4.76 g,4.95 g,3.96 g,3.99 g,0.99 g,2.47 g,0.00 g,62.0 mcg,0.06 mg,0.16 mg,0.47 mg,0.54 mg,0.10 mg,N/A,20.0 mcg,0.36 mcg,5.90 mg,0.40 mcg,0.52 mg,5.60 mcg,0.88 mg,0.62 mg,0.08 mg,0.13 mg,10.5 mcg,N/A,1.14 g,1.44 g,0.79 g,0.05 g,0.70 g,0.00 g,124 mg,N/A,N/A,84.00 g
3,"Cabbage Sabji (Indian Style, Low Oil)",Generic,Vegetables,Homemade Curry,100 g,100,Recipe Calculated (USDA FoodData Central + IFCT 2017),"Homemade, Low Oil",36 kcal,1.08 g,5.47 g,4.03 g,1.85 g,1.44 g,2.72 g,0.00 g,22.0 mcg,0.04 mg,0.03 mg,0.39 mg,0.09 mg,0.12 mg,N/A,29.0 mcg,0.00 mcg,26.80 mg,0.00 mcg,0.16 mg,37.0 mcg,0.39 mg,0.20 mg,0.03 mg,0.12 mg,0.40 mcg,N/A,0.27 g,0.92 g,0.47 g,0.02 g,0.45 g,0.00 g,0 mg,N/A,N/A,90.50 g
4,"Egg, Whole, Boiled",Generic,Eggs,Chicken Egg,1 Piece,1,USDA FoodData Central,Boiled,78 kcal,6.29 g,0.56 g,0.56 g,5.30 g,0.00 g,0.56 g,0.00 g,75.0 mcg,0.03 mg,0.26 mg,0.04 mg,0.70 mg,0.06 mg,N/A,22.0 mcg,0.56 mcg,0.00 mg,1.10 mcg,0.53 mg,0.30 mcg,0.84 mg,0.59 mg,0.03 mg,0.01 mg,15.4 mcg,N/A,1.63 g,2.03 g,0.71 g,0.04 g,0.67 g,0.00 g,186 mg,0,0,37.81 g
5,Yoga Bar High Protein Oats – Dark Chocolate,Yoga Bar,Processed Foods,Breakfast Cereal,100 g,100,Nutrition Label,Dark Chocolate,364 kcal,26.00 g,57.30 g,46.20 g,5.90 g,11.10 g,15.90 g,0.00 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.30 g,N/A,N/A,N/A,N/A,0.00 g,<1.0 mg,N/A,N/A,N/A
6,Nakpro Perform Whey Protein Concentrate – Chocolate,Nakpro,Supplements,Whey Protein,100 g,100,Nutrition Label,Chocolate,378 kcal,65.01 g,20.82 g,20.82 g,5.19 g,0.00 g,13.80 g,0.00 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.93 g,0.97 g,0.56 g,N/A,N/A,0.17 g,88.35 mg,N/A,N/A,N/A
7,"Cow Milk, Toned",Generic,Dairy,Milk,100 ml,100,IFCT 2017,Toned,58.00 kcal,3.10 g,4.80 g,4.80 g,3.00 g,0.00 g,4.80 g,0.00 g,46.0 mcg,0.04 mg,0.18 mg,0.10 mg,0.31 mg,0.04 mg,N/A,5.0 mcg,0.45 mcg,1.50 mg,0.05 mcg,0.07 mg,0.30 mcg,0.05 mg,0.38 mg,0.01 mg,0.01 mg,2.8 mcg,N/A,1.92 g,0.84 g,0.09 g,0.03 g,0.06 g,0.00 g,14 mg,N/A,N/A,88.50 g
